deployment,condition_label,model_count,attack_success_rate,attack_success_rate_sd,latency_mean_ms,latency_mean_ms_sd
Cloud,ArcShield,6,0.15182291666666667,0.04679218378684273,12090.885328125,15018.0982764497
Cloud,No Defense,6,0.27479166666666666,0.07088025406745284,13308.835262499999,13943.758160515019
Local,ArcShield,5,0.093625,0.04658063824568101,24775.7531275,7886.5598571366145
Local,No Defense,5,0.2626875,0.097643774203095,55556.12992312501,15556.82373388987
