deployment,condition,models,n,asr,refusal_rate,latency_overall_ms,latency_refused_ms,latency_answered_ms
Cloud,arcshield,6,19200,0.15182291666666667,0.531875,12090.885328125001,10660.296233842539,13716.294299065421
Cloud,no_defense,6,19200,0.27479166666666666,0.33296875,13308.835262499999,10331.68179258564,14794.971136097447
Local,arcshield,5,16000,0.093625,0.6884375,24775.7531275,14632.10715932819,47189.446274824484
Local,no_defense,5,16000,0.2626875,0.3341875,55556.129923125,27341.711052926876,69717.63350887074
