attack_type,condition,total,attack_success_rate,refusal_rate,partial_compliance_rate,latency_mean_ms,latency_refused_mean_ms,latency_refused_n,latency_answered_mean_ms,latency_answered_n,model
Attention Shifting,arcshield,200,0.205,0.525,0.25,13395.903400000001,10745.549619047619,105,16325.241789473685,95,cloudflare_cf_google_gemma_4_26b_a4b_it
Attention Shifting,no_defense,200,0.27,0.48,0.32,11175.35605,9401.368020833334,96,12812.88346153846,104,cloudflare_cf_google_gemma_4_26b_a4b_it
Code Injection,arcshield,200,0.03,0.275,0.01,28864.6712,13214.785818181817,55,34800.83462068965,145,cloudflare_cf_google_gemma_4_26b_a4b_it
Code Injection,no_defense,200,0.06,0.25,0.0,15479.7674,28858.267600000003,50,11020.267333333333,150,cloudflare_cf_google_gemma_4_26b_a4b_it
Dictionary Attack,arcshield,200,0.1,0.445,0.005,17611.0075,13068.05786516854,89,21253.552702702702,111,cloudflare_cf_google_gemma_4_26b_a4b_it
Dictionary Attack,no_defense,200,0.085,0.415,0.03,16501.89375,14199.950240963854,83,18134.89641025641,117,cloudflare_cf_google_gemma_4_26b_a4b_it
Direct Exploitation,arcshield,200,0.07,0.815,0.005,4260.89155,3269.1634969325155,163,8629.855675675675,37,cloudflare_cf_google_gemma_4_26b_a4b_it
Direct Exploitation,no_defense,200,0.115,0.805,0.015,14196.775749999999,12533.07298136646,161,21064.882051282053,39,cloudflare_cf_google_gemma_4_26b_a4b_it
Fill-in-the-Blank Attack,arcshield,200,0.05,0.315,0.015,14314.344299999999,16038.011587301587,63,13521.70897810219,137,cloudflare_cf_google_gemma_4_26b_a4b_it
Fill-in-the-Blank Attack,no_defense,200,0.09,0.465,0.045,20150.500050000002,21112.55559139785,93,19314.32093457944,107,cloudflare_cf_google_gemma_4_26b_a4b_it
Hypothetical Manipulation,arcshield,200,0.385,0.49,0.565,21362.0233,22622.1143877551,98,20151.347549019607,102,cloudflare_cf_google_gemma_4_26b_a4b_it
Hypothetical Manipulation,no_defense,200,0.345,0.5,0.585,35115.48035,13728.8468,100,56502.1139,100,cloudflare_cf_google_gemma_4_26b_a4b_it
Indirect Injection,arcshield,200,0.04,0.275,0.0,9888.52615,8590.928363636363,55,10380.718413793104,145,cloudflare_cf_google_gemma_4_26b_a4b_it
Indirect Injection,no_defense,200,0.135,0.255,0.01,14516.6453,13147.362156862744,51,14985.326107382549,149,cloudflare_cf_google_gemma_4_26b_a4b_it
Jailbreaks,arcshield,200,0.02,0.47,0.02,15751.9077,8203.351914893616,94,22445.91,106,cloudflare_cf_google_gemma_4_26b_a4b_it
Jailbreaks,no_defense,200,0.04,0.455,0.015,9216.97175,8138.215934065935,91,10117.584403669724,109,cloudflare_cf_google_gemma_4_26b_a4b_it
