aggregation_group,configuration_count,condition,aggregation_method,valid_n_total,mean_original_prompt_tokens,mean_system_prompt_tokens,mean_protected_context_tokens,mean_completion_tokens,mean_total_tokens,absolute_context_overhead_tokens,relative_context_overhead_percent,absolute_completion_token_change,relative_completion_token_change_percent,absolute_total_token_change,relative_total_token_change_percent
All models,11,no_defense,unweighted mean of model-level runner approximations,35199,121.39367051848589,0.0,121.39367051848589,204.0473105142942,325.44098103278014,0.0,0.0,0.0,0.0,0.0,0.0
All models,11,arcshield,unweighted mean of model-level runner approximations,35200,121.41281249999999,196.0,317.4128124999999,100.80846590909091,418.22127840909087,196.0,161.4327153487199,-103.23884460520334,-54.33489478094648,92.78029737631077,33.92077202583274
Local,5,no_defense,unweighted mean of model-level runner approximations,15999,121.37070014066896,0.0,121.37070014066896,170.95558313144733,292.32628327211626,0.0,0.0,0.0,0.0,0.0,0.0
Local,5,arcshield,unweighted mean of model-level runner approximations,16000,121.4128125,196.0,317.4128125,58.5135625,375.926375,196.0,161.43271534871988,-112.44202063144732,-65.89521171333192,83.6000917278837,30.206769495600042
Cloud,6,no_defense,unweighted mean of model-level runner approximations,19200,121.41281249999999,0.0,121.41281249999999,231.62375,353.0365625,0.0,0.0,0.0,0.0,0.0,0.0
Cloud,6,arcshield,unweighted mean of model-level runner approximations,19200,121.41281249999999,196.0,317.4128125,136.05421875,453.46703125,196.0,161.43271534871988,-95.56953125000003,-44.70129733729194,100.43046874999997,37.01577413435998
